Model,Feature Set,AUROC,Accuracy,Precision,Recall,F1 Score
Logistic Regression,Classical Only,0.7112491373360939,0.7770114942528735,0.0666666666666666,0.0333333333333333,0.0444444444444444
Random Forest,Classical Only,0.7009575569358178,0.7770114942528735,0.4857142857142857,0.2571428571428571,0.2867521367521367
XGBoost,Classical Only,0.6614216701173221,0.7570114942528736,0.3466666666666667,0.2571428571428571,0.286060606060606
Logistic Regression,Classical + Quantum,0.6904934437543133,0.7770114942528735,0.0666666666666666,0.0333333333333333,0.0444444444444444
Random Forest,Classical + Quantum,0.5828976880607315,0.7163218390804598,0.05,0.0333333333333333,0.04
XGBoost,Classical + Quantum,0.617451690821256,0.7432183908045976,0.3376190476190476,0.2857142857142857,0.3018648018648019
